feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
PLVAP,gene,0.1707213205175861,1.1861601444623788,0.8748369952352402,1.608272050649483,0.2717262966749481,182,77,,0.925882196077601,50,0.1712659040763199,0.1261461370134631,0.2043049733927128,0.96,PLVAP,Endothelial,3,1.0454239203213926,1.0,True,Evidence at protein level
KRT15,gene,-0.1598221899329495,0.8522953221821304,0.6331096536183811,1.1473641446816374,0.29203286109487,182,77,,0.9540723929676737,50,-0.1711815274208198,-0.2203148520444852,-0.0837074781257343,0.86,KRT15,Malignant,1,1.0488408101774356,1.0,True,Evidence at protein level
ITK,gene,0.1252937232255318,1.1334813339705008,0.8892113821746574,1.444853226369511,0.3116472070775047,182,77,,0.9540723929676737,50,0.1101529636547839,0.0748511610019343,0.1839756666424043,1.0,ITK,CD4Tconv,4,0.9673167057248072,1.0,True,Evidence at protein level
HCK,gene,0.1152619753692302,1.1221673792810385,0.8949434150690924,1.4070829573345207,0.3180542212232732,182,77,,0.9540723929676737,50,0.1249058536866607,0.0765174435275183,0.1701151822648568,0.96,HCK,DC,7,0.9545705034315364,0.99,True,Evidence at protein level
SLPI,gene,-0.1140661458531059,0.8921989386706194,0.7114994932964694,1.1187906016305376,0.3232243189441902,182,77,,0.9540723929676737,50,-0.1137724048100239,-0.1548326644649097,-0.0490556397632651,0.94,SLPI,Malignant,6,1.0305772932708404,1.0,True,Evidence at protein level
CD6,gene,0.1173206261734481,1.1244799095883342,0.8806269308298994,1.435857822195116,0.3468632901375121,182,77,,0.9540723929676737,50,0.1042211486198403,0.0736399797342846,0.1815000751239101,0.96,CD6,CD4Tconv,7,0.9578360395045196,1.0,True,Evidence at protein level
CD19,gene,-0.1316112084280676,0.8766817753143479,0.6645277942243515,1.1565670267643302,0.3518470097312224,182,77,,0.9540723929676737,50,-0.1416087092491793,-0.2031573304574566,-0.0755810726583274,1.0,CD19,B,2,1.0283154084365582,1.0,True,Evidence at protein level
MGP,gene,-0.0972439391184144,0.9073346447216762,0.7353622708855237,1.11952460726717,0.3644311740937626,182,77,,0.9540723929676737,50,-0.1045184211931737,-0.1283359861619221,-0.0809759396522204,0.98,MGP,Pericytes,5,1.0500198778038163,1.0,True,Evidence at protein level
DNAAF1,gene,0.1214766059223582,1.1291629498904494,0.8635867586301694,1.4764109739567273,0.3745735407281158,182,77,,0.9540723929676737,50,0.1218558396878705,0.0875971384364086,0.1700095924356564,0.94,DNAAF1,Plasma,3,1.032454176431202,1.0,True,Evidence at protein level
RAB27B,gene,-0.0873399337372766,0.916365539119443,0.753276792001617,1.1147639356501835,0.3824119455167333,182,77,,0.9540723929676737,50,-0.0719955624373644,-0.1350485763102361,-0.0182687434428774,0.86,RAB27B,Mast,10,0.9986540132239704,0.996,True,Evidence at protein level
S100B,gene,0.1097768638823231,1.1160290162915043,0.8717771099347913,1.428714692104898,0.3837030276065644,182,77,,0.9540723929676737,50,0.1176669331500085,0.0647244020636754,0.1736828567153277,0.9,S100B,DC,4,0.9949887010378304,1.0,True,Evidence at protein level
KRT6B,gene,-0.1194603320306363,0.8873992084454911,0.6685602865459594,1.1778703745896968,0.4083217269566735,182,77,,0.986490966722809,50,-0.1181882595619517,-0.1792077770990099,-0.0543215684584466,0.84,KRT6B,Malignant,5,1.0311547957817206,1.0,True,Evidence at protein level
KIT,gene,-0.0956488346071959,0.9087830932129036,0.7108567961521961,1.1618186883491353,0.445345832830146,182,77,,0.986490966722809,50,-0.0844903364652172,-0.130541429497227,-0.053035367490292,0.94,KIT,Mast,5,1.0238157013726146,1.0,True,Evidence at protein level
CSF2RA,gene,0.0833285246033739,1.0868988229057297,0.8721027836331517,1.3545984182190076,0.4582251222379814,182,77,,0.986490966722809,50,0.0904528716081218,0.0468235661046564,0.1387983650547624,0.92,CSF2RA,DC,2,1.0235750753264146,1.0,True,Evidence at protein level
MMP19,gene,0.0807410879225024,1.084090176187669,0.8718362270904212,1.3480186686308937,0.467675553083946,182,77,,0.986490966722809,50,0.0777685883795788,0.0480342600925112,0.1280228576605653,0.9,MMP19,Mono/Macro,5,1.0139740960830264,1.0,True,Evidence at protein level
NTRK1,gene,-0.0776489625093105,0.925289180731923,0.7482808259712204,1.144169459197772,0.4735193719891483,182,77,,0.986490966722809,50,-0.0825772957054829,-0.1158860814716822,-0.0460849475577694,0.88,NTRK1,Mast,7,1.0130356545028456,1.0,True,Evidence at protein level
IGHV3-7,gene,0.0814039531241609,1.0848090200628977,0.8647985294693488,1.3607916409524077,0.4814923983634951,182,77,,0.986490966722809,50,0.0755729323930882,0.0298713328085893,0.1295647706170808,0.9,IGHV3-7,Plasma,2,1.0366651322397054,1.0,True,Evidence at protein level
