dataset,model,repeat,horizon_days,threshold_probability,net_benefit,treat_all_net_benefit
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.175,0.5037202709540498,0.5037202709540498
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.2,0.48721783601428353,0.48721783601428353
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.225,0.47771950986335177,0.4696507278525968
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.25,0.45456549701550075,0.45091247914679766
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.275,0.43581277007115804,0.4308819374268055
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.3,0.41572056263079094,0.4094206427268138
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.325,0.4048948438072177,0.3863696224934895
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.35,0.37696981312082545,0.3615454468576017
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.375,0.35324458738838177,0.33473533717084286
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.4,0.32153126099004264,0.3056910516768541
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.425,0.2891923767886634,0.2741211761399099
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.45,0.2719905603798686,0.23968131191778902
TCGA_ESCA_outer_test,elastic_net_cox,5,1095,0.475,0.18853312146618545,0.20196146062689457
