feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
CALML3,gene,-0.022378753219874606,0.9778697935697539,0.6913148812911111,1.3832037455786912,0.8993504395540808,182,77,,0.986490966722809,50,-0.025705411581531955,-0.06515937836162189,0.08206884515375132,0.62,CALML3,Malignant,8,1.0271844660194174,1.0,True,Evidence at protein level
FPR1,gene,-0.013235718743663766,0.9868514882087744,0.7890376476617424,1.2342577856277017,0.907681978053845,182,77,,0.986490966722809,50,0.0013323640977129477,-0.060945007210812446,0.04147711000417939,0.48,FPR1,Mono/Macro,7,1.0020390441914964,1.0,True,Evidence at protein level
BGN,gene,0.009976554707960435,1.010026486440627,0.8097837251542399,1.2597851396893522,0.9294853328341198,182,77,,0.986490966722809,50,0.0015054634784975557,-0.03660698914595957,0.056863704498365086,0.56,BGN,Pericytes,3,1.0507898811516572,1.0,True,Evidence at protein level
BANK1,gene,-0.00905539888049063,0.9909854777661198,0.7665533416655006,1.281127044609351,0.94489861363956,182,77,,0.986490966722809,50,-0.00562382256582881,-0.051008217667373935,0.02157602068962417,0.54,BANK1,B,3,0.9995124707063943,1.0,True,Evidence at protein level
VMO1,gene,0.005780687145031588,1.0057974275584518,0.8411563221764333,1.2026640454483906,0.9494628961838315,182,77,,0.986490966722809,50,0.005389551527010825,-0.03332724708596875,0.038457655145090267,0.54,VMO1,DC,9,0.9493178774690325,1.0,True,Evidence at protein level
FCGR2B,gene,0.0078058704229506965,1.0078364156551294,0.7841015422226837,1.2954116093705013,0.9514009446700608,182,77,,0.986490966722809,50,0.020256896773776602,-0.03170573632214211,0.06837964804206663,0.54,FCGR2B,Plasma,10,0.9821152075661198,1.0,True,Evidence at protein level
RAMP2,gene,0.007933228324682337,1.007964779760234,0.7798361823948442,1.3028287481058203,0.9516821153289206,182,77,,0.986490966722809,50,0.011758643051996292,-0.04699448256496375,0.05681595571056529,0.56,RAMP2,Endothelial,5,1.041068588885169,1.0,True,Evidence at protein level
CNRIP1,gene,-0.0059156604495202835,0.9941018026175961,0.811256983543601,1.218157025472855,0.9545100750467781,182,77,,0.986490966722809,50,-0.00756717099143407,-0.03806983254153339,0.025194221179901055,0.54,CNRIP1,Mast,6,1.0190272430532306,1.0,True,Evidence at protein level
TM4SF1,gene,0.006582973909880628,1.0066046893071092,0.774898175775495,1.307595026302686,0.9606644232881715,182,77,,0.986490966722809,50,0.010295388110365875,-0.04077958984448275,0.055038873987389436,0.58,TM4SF1,Endothelial,9,1.01710723970539,0.982,True,Evidence at protein level
ESAM,gene,0.007662028007737142,1.007691456456852,0.7333675742390959,1.3846290824484595,0.9623073215292877,182,77,,0.986490966722809,50,0.01435099272760448,-0.03817995728359712,0.09229668400649044,0.56,ESAM,Endothelial,8,1.021794442584533,1.0,True,Evidence at protein level
