state,gene,donors,baseline_specificity_effect,bootstrap_selection_frequency,bootstrap_effect_mean,bootstrap_effect_sd,bootstrap_effect_ci95_low,bootstrap_effect_ci95_high,hpa_evidence,hpa_weight,prominence_score,stable_marker,state_rank
Pericytes,COL1A2,59,0.9140651155005022,1.0,0.749439351439476,0.005956688398853087,0.7292798161506653,0.7578499913215637,Evidence at protein level,1.15,1.0511748828255774,True,1
Pericytes,SPARCL1,59,0.9138977234683628,1.0,0.7501371656656265,0.0038696816342202235,0.7424188852310181,0.7575811147689819,Evidence at protein level,1.15,1.0509823819886173,True,2
Pericytes,BGN,59,0.9137303314362236,1.0,0.7480610008239746,0.007033938433468856,0.728045642375946,0.7571447491645813,Evidence at protein level,1.15,1.0507898811516572,True,3
Pericytes,COL3A1,59,0.9133118513558754,1.0,0.7420352594852447,0.010289060988142,0.7230077385902405,0.756003201007843,Evidence at protein level,1.15,1.0503086290592567,True,4
Pericytes,MGP,59,0.9130607633076665,1.0,0.7470885043144226,0.006687255390707912,0.7269878387451172,0.7564395070075989,Evidence at protein level,1.15,1.0500198778038163,True,5
Pericytes,RGS5,59,0.9078506863073318,1.0,0.7335955574512482,0.00937887731939946,0.7105914950370789,0.7533762454986572,Evidence at protein level,1.15,1.0440282892534314,True,6
Pericytes,CALD1,59,0.9038332775359893,1.0,0.7245137531757355,0.011120003442382514,0.7020363211631775,0.7412949800491333,Evidence at protein level,1.15,1.0394082691663875,True,7
Pericytes,LUM,59,0.9023476732507533,1.0,0.7393117061853409,0.004428714579258241,0.7306064963340759,0.7481532096862793,Evidence at protein level,1.15,1.0376998242383662,True,8
Pericytes,COL4A2,59,0.895631067961165,1.0,0.7242306063175201,0.005183550191774994,0.7143776416778564,0.7334361672401428,Evidence at protein level,1.15,1.0299757281553397,True,9
Pericytes,DCN,59,0.8926180113826582,1.0,0.733232017159462,0.00896118452914578,0.7155280113220215,0.7470028400421143,Evidence at protein level,1.15,1.0265107130900568,True,10
Plasma,IGHV4-34,60,0.9061139939738868,1.0,0.7403787026405334,0.02161382731083403,0.6940850019454956,0.773624837398529,Evidence at protein level,1.15,1.0420310930699697,True,1
Plasma,IGHV3-7,60,0.9014479410780047,1.0,0.7373011285066604,0.019305284209583044,0.6953367590904236,0.7742639780044556,Evidence at protein level,1.15,1.0366651322397054,True,2
